Track,Album Name,Explicit Track,Release Date,Artist,artist_id,track_id
My Eyes,Utopia,1,2023-07-28,Travis Scott,94,280
Work,Golden Hour : Part.1,0,2024-05-31,Ateez,193,281
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),0,2017-04-17,Luis Fonsi,44,282
Ghost,Justice,0,2021-03-19,Justin Bieber,116,283
Dior,Meet The Woo,1,2019-07-26,Pop Smoke,142,284
New Baby Shark,Pinkfong & Baby Shark'S Space Adventure Songs,0,2022-09-30,Pinkfong,26,285
Breakeven,Breakeven (Official 4K Video),0,2024-04-25,The Script,194,286
Una Noche En Medellï¿½,Una Noche En Medellï¿½,1,2022-01-21,Cris Mj,195,287
Sad!,Sad!,1,2018-03-02,Xxxtentacion,196,288
Primera Cita,La Primera Cita - Single,0,2023-04-20,Carin Leon,197,289
Efecto,Un Verano Sin Ti,1,2022-05-06,Bad Bunny,56,290
Dame Tu Cosita,Dame Tu Cosita,0,2018-04-23,El Chombo,198,291
Bï¿½Ï¿½Nï¿½Ï¿½Ï¿½Ï¿½Os Que Nï¿½Ï¿½O Tï¿½Ï¿½M Fim (Co,Bï¿½Ï¿½Nï¿½Ï¿½Ï¿½Ï¿½Os Que Nï¿½Ï¿½O Tï¿½Ï¿½M Fim (Co,0,2023-11-09,Isadora Pompeo,199,292
Slow It Down,Slow It Down,0,2024-03-22,Benson Boone,7,293
Yonaguni,Yonaguni,1,2021-06-04,Bad Bunny,56,294
Heathens,Heathens,0,2016-06-16,Twenty One Pilots,200,295
Whoopty,Whoopty,1,2020-08-20,Cj,201,296
Super Shy,Newjeans 'Super Shy',0,2023-07-07,Newjeans,163,297
Happier,Happier - Single,0,2018-08-16,Marshmello,202,298
Harley Quinn,Harley Quinn - Single,1,2023-10-18,Fuerza Regida,203,299
Baby Don'T Hurt Me,Baby Don'T Hurt Me - Single,0,2023-04-07,David Guetta,39,300
Butter,Butter,0,2021-05-21,Bts,100,301
Cinderella,We Don'T Trust You,1,2024-03-22,Future,14,302
Calma - Remix,Calma (Remix),0,2018-10-05,Pedro Capï¿,204,303
"Can'T Stop The Feeling! (Original Song From Dreamworks Animation'S ""Trolls"")","Can'T Stop The Feeling! (Original Song From Dreamworks Animation'S ""Trolls"")",0,2016-05-06,Justin Timberlake,136,304
Say So,Hot Pink,1,2019-11-07,Doja Cat,20,305
Ransom,Ransom,1,2019-05-22,Lil Tecca,205,306
Romantic Homicide,Romantic Homicide,0,2022-07-20,D4Vd,167,307
Pink Skies,Pink Skies,0,2024-05-24,Zach Bryan,129,308
Rockabye (Feat. Sean Paul & Anne-Marie),Rockabye (Feat. Sean Paul & Anne-Marie),1,2016-10-21,Clean Bandit,206,309
Danza Kuduro - Cover,A Collection Of Western Music That Will Get You Excited,1,2023-11-15,Music Lab Jpn,9,310
Rich Men North Of Richmond,Rich Men North Of Richmond - Single,1,2023-08-11,Oliver Anthony Music,207,311
Beso,Rr,0,2023-03-24,Rosalï¿½,127,312
Mtg Quem Nï¿½Ï¿½O Quer So,Mtg Quem Nï¿½Ï¿½O Quer Sou Eu - Si,0,2024-05-10,Dj Topo,208,313
Que Vuelvas,Que Vuelvas - Single,1,2022-12-09,Carin Leon,197,314
Pretty Green Eyes (Sunset Ibiza Mix),Pretty Green Eyes (Sunset Ibiza Mix),0,2024-06-14,Kettama,209,315
Just Wanna Rock,Just Wanna Rock,1,2022-10-17,Lil Uzi Vert,210,316
Mood Swings (Feat. Lil Tjay),Shoot For The Stars Aim For The Moon,1,2020-07-03,Pop Smoke,142,317
Fuck Love (Feat. Trippie Redd),17,1,2017-08-25,Xxxtentacion,196,318
Rich Flex,Her Loss,1,2022-11-04,Drake,120,319
Standing Next To You,Golden,0,2023-11-03,Jung Kook,122,320
Congratulations,Congratulations,1,2016-11-04,Post Malone,11,321
Do It To It,Do It To It,0,2021-08-20,Acraze,211,322
Tusa,Tusa,0,2019-11-07,Karol G,69,323
For The Night (Feat. Lil Baby & Dababy),Shoot For The Stars Aim For The Moon,1,2020-07-03,Pop Smoke,142,324
Good Good,Good Good,1,2023-08-04,Usher,212,325
Austin,Austin - Single,1,2023-11-17,Dasha,213,326
Search & Rescue,Search & Rescue,1,2023-04-07,Drake,120,327
Tulum,Tulum,1,2023-06-28,Peso Pluma,81,328
Shivers,#Name?,0,2020-01-01,Ed Sheeran,47,329
